Abiotrophia defectiva
Achromobacter xylosoxidans
Acinetobacter baumannii
Actinomadura madurae
Actinomadura pelletieri
Actinomyces gerencseriae
Actinomyces israelii
Actinotignum schaalii
Aerococcus sanguinicola
Aerococcus urinae
Aeromonas caviae
Aeromonas hydrophila
Aeromonas veronii
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Agrobacterium tumefaciens
Anaerococcus prevotii
Anaplasma phagocytophilum
Arcanobacterium haemolyticum
Arcobacter butzleri
Bacillus anthracis
Bacillus cereus

Bacillus licheniformis
Bartonella bacilliformis
Bartonella clarridgeiae
Bartonella elizabethae
Bartonella grahamii
Bartonella henselae
Bartonella quintana

Bordetella bronchiseptica
Bordetella parapertussis
Bordetella pertussis



Borrelia duttonii
Borrelia hermsii
Borrelia mayonii
Borrelia miyamotoi
Borrelia parkeri
Borrelia recurrentis
Borrelia turicatae
Borreliella burgdorferi
Brachyspira hyodysenteriae
Brevibacillus brevis

Brucella abortus
Brucella canis
Brucella melitensis
Brucella suis
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia mallei
Burkholderia pseudomallei
Campylobacter coli
Campylobacter curvus
Campylobacter fetus
Campylobacter jejuni
Campylobacter lari
Cardiobacterium hominis
Chlamydia pneumoniae
Chlamydia psittaci
Chlamydia trachomatis


Citrobacter freundii
Clostridioides difficile
Clostridium botulinum
Clostridium perfringens
Clostridium septicum
Clostridium tetani

Corynebacterium diphtheriae
Corynebacterium minutissimum
Corynebacterium striatum
Corynebacterium ulcerans
Coxiella burnetii
Cronobacter sakazakii
Cronobacter turicensis
Edwardsiella tarda
Ehrlichia chaffeensis
Ehrlichia ewingii
Ehrlichia muris
Eikenella corrodens
Elizabethkingia anophelis
Elizabethkingia meningoseptica
Enterobacter cloacae
Enterococcus avium
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Erysipelothrix rhusiopathiae
Escherichia coli
Finegoldia magna
Fluoribacter bozemanae
Francisella tularensis
Fusobacterium necrophorum
Fusobacterium nucleatum
Gardnerella vaginalis
Haemophilus aegyptius
Haemophilus influenzae
Haemophilus parainfluenzae
Helicobacter pylori
Kingella denitrificans
Kingella kingae
Klebsiella aerogenes
Klebsiella granulomatis
Klebsiella oxytoca
Klebsiella pneumoniae
Legionella pneumophila





Leptospira alexanderi
Leptospira alstonii
Leptospira borgpetersenii
Leptospira interrogans
Leptospira kirschneri
Leptospira kmetyi
Leptospira mayottensis
Leptospira noguchii
Leptospira santarosai
Leptospira weilii
Listeria monocytogenes
Methylorubrum extorquens
Moraxella catarrhalis
Moraxella lacunata
Moraxella nonliquefaciens
Morganella morganii
Mycobacterium avium
Mycobacterium intracellulare
Mycobacterium kansasii
Mycobacterium leprae
Mycobacterium lepromatosis
Mycobacterium malmoense
Mycobacterium marinum
Mycobacterium scrofulaceum
Mycobacterium simiae
Mycobacterium szulgai
Mycobacterium tuberculosis
Mycobacterium ulcerans
Mycobacterium xenopi
Mycobacteroides abscessus
Mycobacteroides chelonae
Mycolicibacter terrae
Mycolicibacterium fortuitum
Mycolicibacterium smegmatis
Mycolicibacterium wolinskyi
Mycoplasma caviae
Mycoplasma fermentans
Mycoplasma genitalium
Mycoplasma hominis
Mycoplasma penetrans
Mycoplasma pneumoniae
Mycoplasma salivarium
Neisseria gonorrhoeae
Neisseria meningitidis
Neorickettsia sennetsu

Nocardia asteroides
Nocardia brasiliensis
Nocardia farcinica
Nocardia nova
Nocardia otitidiscaviarum

Orientia tsutsugamushi
Paraclostridium bifermentans
Parvimonas micra
Pasteurella multocida
Peptoniphilus asaccharolyticus
Peptostreptococcus anaerobius
Photobacterium damselae
Plesiomonas shigelloides
Porphyromonas gingivalis
Prevotella bivia
Prevotella intermedia
Prevotella melaninogenica
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Providencia alcalifaciens
Providencia rettgeri
Pseudomonas aeruginosa
Pseudomonas fluorescens
Pseudomonas putida
Ralstonia pickettii
Rhodococcus hoagii
Rickettsia africae
Rickettsia akari
Rickettsia australis
Rickettsia canadensis
Rickettsia conorii
Rickettsia felis
Rickettsia helvetica
Rickettsia honei
Rickettsia japonica
Rickettsia montanensis
Rickettsia parkeri
Rickettsia prowazekii
Rickettsia rickettsii
Rickettsia sibirica
Rickettsia typhi
Rothia dentocariosa
Salmonella bongori
Salmonella enterica
Serratia marcescens
Shewanella algae
Shigella boydii
Shigella dysenteriae
Shigella flexneri
Shigella sonnei
Staphylococcus aureus
Staphylococcus capitis
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus lugdunensis
Staphylococcus pseudintermedius
Staphylococcus saccharolyticus
Staphylococcus saprophyticus
Stenotrophomonas maltophilia
Streptobacillus moniliformis
Streptococcus agalactiae
Streptococcus anginosus
Streptococcus criceti
Streptococcus dysgalactiae
Streptococcus equi
Streptococcus equinus

Streptococcus gordonii

Streptococcus iniae
Streptococcus mitis
Streptococcus mutans
Streptococcus oralis
Streptococcus pneumoniae
Streptococcus pyogenes
Streptococcus sanguinis
Streptococcus sobrinus
Streptococcus suis
Suttonella indologenes
Tannerella forsythia
Tatlockia micdadei
Treponema denticola
Treponema pallidum
