Species,AltNames,GenoSero-types,Disease_type,Disease_Name,Tax_ID,NCBI_Genbank_ID,Status,Commensal,NNDSS_Notifiable,Reference
Abiotrophia defectiva,,,Bacterial,,46125,NZ_CP053988.1,Known Pathogen,,,1
Achromobacter xylosoxidans,,,Bacterial,,85698,NZ_CP068211.1,Known Pathogen,,,1
Actinotignum schaalii,,,Bacterial,,59505,NZ_CP008802.1,Known Pathogen,,,1
Aerococcus sanguinicola,,,Bacterial,,119206,,Known Pathogen,,,1
Aerococcus urinae,,,Bacterial,,1376,NZ_CP014161.1,Known Pathogen,,,1
Aeromonas caviae,,,Bacterial,,648,NZ_AP022254.1,Known Pathogen,,,1
Aeromonas hydrophila,,,Bacterial,,644,NZ_CP065651.1,Known Pathogen,,,1
Aeromonas veronii,,,Bacterial,,654,NZ_CP044060.1,Known Pathogen,,,1
Aggregatibacter actinomycetemcomitans,,,Bacterial,,714,NZ_CP085096.1,Known Pathogen,,,1
Aggregatibacter aphrophilus,,,Bacterial,,732,NZ_LR134327.1,Known Pathogen,,,1
Anaerococcus prevotii,,,Bacterial,,33034,,Known Pathogen,,,1
Anaplasma phagocytophilum,,,Bacterial,,948,NC_021880.1,Known Pathogen,,,1
Arcanobacterium haemolyticum,,,Bacterial,,28264,NZ_LS483427.1,Known Pathogen,,,1
Bacillus anthracis,,,Bacterial,Anthrax,1392,NC_007530.2,Known Pathogen ,,Yes,1
Bacillus cereus,,,Bacterial,,1396,NZ_CP017060.1,Known Pathogen,,,1
Bacillus coagulans,,,Bacterial,,1398,NZ_CP009709.1,Known Pathogen,,,1
Bacillus licheniformis,,,Bacterial,,1402,NZ_CP014842.1,Known Pathogen,,,1
Bartonella bacilliformis,,,Bacterial,Bartonellosis,774,NZ_CP045671.1,Known Pathogen,,,1
Bartonella elizabethae,,,Bacterial,Bartonellosis,807,NZ_LR134527.1,Known Pathogen,,,1
Bartonella grahamii,,,Bacterial,Bartonellosis,33045,NC_012846.1,Known Pathogen,,,1
Bartonella henselae,,,Bacterial,Bartonellosis,38323,NZ_HG965802.1,Known Pathogen,,,1
Bartonella quintana,,,Bacterial,Bartonellosis,803,NZ_AP019773.1,Known Pathogen,,,1
Bordetella pertussis,,,Bacterial,Pertussis,520,NZ_CP025371.1,Known Pathogen,,Yes,"1,2"
