#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Pneumocystis carinii B80	1408658	PRJNA223511	223511	Fungi	Ascomycetes	7.66146	27.8	GCA_001477545.1	-	LFVZ01	62	3695	3646	2015/12/22	2015/12/22	Contig	Broad Institute	SAMN02380717
Schizosaccharomyces pombe	4896	PRJNA13836	13836	Fungi	Ascomycetes	12.5913	36.0381	GCA_000002945.2	chromosome I:NC_003424.3/CU329670.1; chromosome II:NC_003423.3/CU329671.1; chromosome III:NC_003421.2/CU329672.1; mitochondrion MT:NC_001326.1/X54421.1	-	4	6974	5131	2002/02/28	2022/07/14	Chromosome	S. pombe European Sequencing Consortium (EUPOM)	SAMEA3138176
Saccharomyces cerevisiae S288C	559292	PRJNA43747	43747	Fungi	Ascomycetes	12.1571	38.1556	GCA_000146045.2	chromosome I:NC_001133.9/BK006935.2; chromosome II:NC_001134.8/BK006936.2; chromosome III:NC_001135.5/BK006937.2; chromosome IV:NC_001136.10/BK006938.2; chromosome V:NC_001137.3/BK006939.2; chromosome VI:NC_001138.5/BK006940.2; chromosome VII:NC_001139.9/BK006941.2; chromosome VIII:NC_001140.6/BK006934.2; chromosome IX:NC_001141.2/BK006942.2; chromosome X:NC_001142.9/BK006943.2; chromosome XI:NC_001143.9/BK006944.2; chromosome XII:NC_001144.5/BK006945.2; chromosome XIII:NC_001145.3/BK006946.2; chromosome XIV:NC_001146.8/BK006947.3; chromosome XV:NC_001147.6/BK006948.2; chromosome XVI:NC_001148.4/BK006949.2; mitochondrion MT:NC_001224.1/	-	17	6464	6016	1999/11/08	2022/06/30	Complete Genome	Saccharomyces Genome Database	-
Aspergillus nidulans FGSC A4	227321	PRJNA848821	848821	Fungi	Ascomycetes	29.8283	50.37	GCA_000011425.1	chromosome I:NC_066257.1/BN001301.1; chromosome II:NC_066258.1/BN001302.1; chromosome III:NC_066259.1/BN001303.1; chromosome IV:NC_066260.1/BN001304.1; chromosome V:NC_066261.1/BN001305.1; chromosome VI:NC_066262.1/BN001306.1; chromosome VII:NC_066263.1/BN001307.1; chromosome VIII:NC_066264.1/BN001308.1	-	8	10518	10455	2009/09/24	2022/09/14	Chromosome	NCBI	SAMEA2272224
Aspergillus fumigatus Af293	330879	PRJNA131	131	Fungi	Ascomycetes	29.385	49.8105	GCA_000002655.1	chromosome 1:NC_007194.1/CM000169.1; chromosome 2:NC_007195.1/CM000170.1; chromosome 3:NC_007196.1/CM000171.1; chromosome 4:NC_007197.1/CM000172.1; chromosome 5:NC_007198.1/CM000173.1; chromosome 6:NC_007199.1/CM000174.1; chromosome 7:NC_007200.1/CM000175.1; chromosome 8:NC_007201.1/CM000176.1	AAHF01	8	19831	19260	2005/06/01	2014/08/04	Chromosome	J. Craig Venter Institute	SAMN00115746
Neurospora crassa OR74A	367110	PRJNA13841	13841	Fungi	Ascomycetes	41.1024	48.2319	GCA_000182925.2	linkage group I:NC_026501.1/CM002236.1; linkage group II:NC_026502.1/CM002237.1; linkage group III:NC_026503.1/CM002238.1; linkage group IV:NC_026504.1/CM002239.1; linkage group V:NC_026505.1/CM002240.1; linkage group VI:NC_026506.1/CM002241.1; linkage group VII:NC_026507.1/CM002242.1; mitochondrion MT:NC_026614.1/KC683708.1	AABX03	21	10590	10812	2003/03/12	2014/08/06	Chromosome	Broad Institute	SAMN02953583
Candida albicans SC5314	237561	PRJNA10701	10701	Fungi	Ascomycetes	14.2827	33.4827	GCA_000182965.3	chromosome 1:NC_032089.1/CP017623.1; chromosome 2:NC_032090.1/CP017624.1; chromosome 3:NC_032091.1/CP017625.1; chromosome 4:NC_032092.1/CP017626.1; chromosome 5:NC_032093.1/CP017627.1; chromosome 6:NC_032094.1/CP017628.1; chromosome 7:NC_032095.1/CP017629.1; chromosome R:NC_032096.1/CP017630.1	-	8	6263	6030	2016/10/12	2022/04/18	Chromosome	Stanford University	SAMN02953594
Encephalitozoon cuniculi GB-M1	284813	PRJNA13833	13833	Fungi	Other Fungi	2.49752	47.3005	GCA_000091225.2	chromosome I:NC_003242.2/AL391737.2; chromosome II:NC_003229.1/AL590442.1; chromosome III:NC_003230.1/AL590443.1; chromosome IV:NC_003231.1/AL590444.1; chromosome V:NC_003232.1/AL590445.1; chromosome VI:NC_003233.1/AL590446.1; chromosome VII:NC_003234.1/AL590447.1; chromosome VIII:NC_003235.1/AL590448.1; chromosome IX:NC_003238.2/AL590451.2; chromosome X:NC_003236.1/AL590449.1; chromosome XI:NC_003237.2/AL590450.2	-	11	2155	2122	2001/02/05	2022/12/22	Chromosome	Genoscope	SAMEA3138295
Aspergillus terreus NIH2624	341663	PRJNA15631	15631	Fungi	Ascomycetes	29.364	52.8	GCA_000149615.1	-	AAJN01	27	10551	10401	2005/09/09	2014/08/06	Scaffold	Broad Institute	SAMN02953635
Fusarium graminearum PH-1	229533	PRJNA13839	13839	Fungi	Ascomycetes	36.458	48.3278	GCA_000240135.3	chromosome 1:NC_026474.1/CM000574.1; chromosome 2:NC_026475.1/CM000575.1; chromosome 3:NC_026476.1/CM000576.1; chromosome 4:NC_026477.1/CM000577.1	AACM02	31	13726	13313	2003/05/09	2014/08/06	Chromosome	International Gibberella zeae Genomics Consortium	SAMN02953593
Saccharomyces bayanus	4931	PRJNA741321	741321	Fungi	Ascomycetes	12.2277	40.0693	GCA_019431265.1	chromosome I:CP080204.1; chromosome II:CP080205.1; chromosome III:CP080206.1; chromosome IV:CP080207.1; chromosome V:CP080208.1; chromosome VI:CP080209.1; chromosome VII:CP080210.1; chromosome VIII:CP080211.1; chromosome IX:CP080212.1; chromosome X:CP080213.1; chromosome XI:CP080214.1; chromosome XII:CP080215.1; chromosome XIII:CP080216.1; chromosome XIV:CP080217.1; chromosome XV:CP080218.1; chromosome XVI:CP080219.1; chromosome XVII:CP080220.1; mitochondrion MT:CP080221.1	-	18	-	-	2021/08/01	2021/08/01	Complete Genome	Saint Louis University	SAMN19865370
Cryptococcus neoformans var. neoformans JEC21	214684	PRJNA13856	13856	Fungi	Basidiomycetes	19.0519	48.5368	GCA_000091045.1	chromosome 1:NC_006670.1/AE017341.1; chromosome 2:NC_006684.1/AE017342.1; chromosome 3:NC_006685.1/AE017343.1; chromosome 4:NC_006686.1/AE017344.1; chromosome 5:NC_006687.1/AE017345.1; chromosome 6:NC_006691.1/AE017346.1; chromosome 7:NC_006692.1/AE017347.1; chromosome 8:NC_006693.1/AE017348.1; chromosome 9:NC_006694.1/AE017349.1; chromosome 10:NC_006679.1/AE017350.1; chromosome 11:NC_006680.1/AE017351.1; chromosome 12:NC_006681.1/AE017352.1; chromosome 13:NC_006682.1/AE017353.1; chromosome 14:NC_006683.1/AE017356.1	-	14	7004	6863	2005/01/07	2018/04/11	Chromosome	TIGR	SAMN03081418
Pyricularia oryzae 70-15	242507	PRJNA13840	13840	Fungi	Ascomycetes	40.9791	51.5882	GCA_000002495.2	chromosome 1:NC_017844.1/CM001231.1; chromosome 2:NC_017850.1/CM001232.1; chromosome 3:NC_017849.1/CM001233.1; chromosome 4:NC_017851.1/CM001234.1; chromosome 5:NC_017852.1/CM001235.1; chromosome 6:NC_017853.1/CM001236.1; chromosome 7:NC_017854.1/CM001237.1	AACU03	53	13184	12989	2003/10/31	2016/03/31	Chromosome	International Rice Blast Genome Consortium	SAMN02953596
Saccharomyces paradoxus	27291	PRJNA625777	625777	Fungi	Ascomycetes	12.0928	38.562	GCA_002079055.1	chromosome I:NC_047487.1/CP020242.1; chromosome II:NC_047488.1/CP020243.1; chromosome III:NC_047489.1/CP020244.1; chromosome IV:NC_047490.1/CP020245.1; chromosome V:NC_047491.1/CP020246.1; chromosome VI:NC_047492.1/CP020247.1; chromosome VII:NC_047493.1/CP020248.1; chromosome VIII:NC_047494.1/CP020249.1; chromosome IX:NC_047495.1/CP020250.1; chromosome X:NC_047496.1/CP020251.1; chromosome XI:NC_047497.1/CP020252.1; chromosome XII:NC_047498.1/CP020253.1; chromosome XIII:NC_047499.1/CP020254.1; chromosome XIV:NC_047500.1/CP020255.1; chromosome XV:NC_047501.1/CP020256.1; chromosome XVI:NC_047502.1/CP020257.1; mitochondrion MT:NC_018044.1/CP020258.1	-	17	5840	5542	2017/03/21	2020/04/28	Chromosome	NCBI	SAMEA2757769
Naumovozyma castellii CBS 4309	1064592	PRJEA70625	70625	Fungi	Ascomycetes	11.2195	36.7559	GCA_000237345.1	chromosome 1:NC_016491.1/HE576752.1; chromosome 2:NC_016492.1/HE576753.1; chromosome 3:NC_016493.1/HE576754.1; chromosome 4:NC_016494.1/HE576755.1; chromosome 5:NC_016495.1/HE576756.1; chromosome 6:NC_016496.1/HE576757.1; chromosome 7:NC_016497.1/HE576758.1; chromosome 8:NC_016498.1/HE576759.1; chromosome 9:NC_016499.1/HE576760.1; chromosome 10:NC_016500.1/HE576761.1	-	10	5867	5589	2011/08/01	2017/06/02	Chromosome	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	SAMEA2271985
Lachancea kluyveri NRRL Y-12651	226302	PRJNA1445	1445	Fungi	Ascomycetes	11.5389	41.5823	GCA_000149225.2	chromosome A:CM000687.1; chromosome B:CM000688.1; chromosome C:CM000689.1; chromosome D:CM000690.1; chromosome E:CM000691.1; chromosome F:CM000692.1; chromosome G:CM000693.1; chromosome H:CM000694.1	AACE03	34	-	-	2003/05/22	2014/08/06	Chromosome	Washington University School of Medicine	SAMN02953588
Ustilago maydis 521	237631	PRJNA1446	1446	Fungi	Basidiomycetes	19.6644	54.0121	GCA_000328475.2	chromosome 1:NC_026478.1/CM003140.1; chromosome 2:NC_026479.1/CM003141.1; chromosome 3:NC_026480.1/CM003142.1; chromosome 4:NC_026481.1/CM003143.1; chromosome 5:NC_026482.1/CM003144.1; chromosome 6:NC_026483.1/CM003145.1; chromosome 7:NC_026484.1/CM003146.1; chromosome 8:NC_026485.1/CM003147.1; chromosome 9:NC_026486.1/CM003148.1; chromosome 10:NC_026487.1/CM003149.1; chromosome 11:NC_026488.1/CM003150.1; chromosome 12:NC_026489.1/CM003151.1; chromosome 13:NC_026490.1/CM003152.1; chromosome 14:NC_026491.1/CM003153.1; chromosome 15:NC_026492.1/CM003154.1; chromosome 16:NC_026493.1/CM003155.1; chromosome 17:NC_026494.1/CM003156.1; chromosome 18:NC_026495.1/CM003157.1; chromosome 19:NC_026496.1/CM003158.1; chromosome 20:NC_026497.1/CM003159.1; chromosome 21:NC_026498.1/CM003160.1; chromosome 22:NC_026499.1/CM003161.1; chromosome 23:NC_026500.1/CM003162.1	AACP02	27	6907	6780	2003/07/29	2015/02/18	Chromosome	Broad Institute	SAMN02900459
Coprinopsis cinerea okayama7#130	240176	PRJNA1447	1447	Fungi	Basidiomycetes	36.1926	51.6	GCA_000182895.1	-	AACS02	68	13657	13356	2003/07/30	2022/05/27	Contig	Broad Institute	SAMN02953595
